                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7848,                 3.7794,                 1.6685,                0.01816,                0.12308,                0.01126,                 0.0054,                 2.5338,                 3.7687,                 2.1349,                  1e-05,                  1e-05,                  1e-05
                      2,                 1.6535,                 3.4323,                 1.6867,                 0.0352,                0.26282,                0.07819,                0.04676,                 2.2263,                 3.4888,                 1.9124,             2.9703e-05,             2.9703e-05,             2.9703e-05
                      3,                 1.4984,                 2.7883,                 1.5594,                0.33871,                0.21648,                0.31341,                0.17175,                 1.8232,                 2.9316,                 1.5858,              4.901e-05,              4.901e-05,              4.901e-05
                      4,                  1.507,                 2.3303,                 1.4706,                0.34142,                0.47509,                0.38137,                0.23873,                 1.5398,                 3.5995,                 1.3794,             6.7921e-05,             6.7921e-05,             6.7921e-05
                      5,                  1.424,                 2.0517,                 1.3785,                0.49212,                 0.4812,                0.44387,                 0.2845,                 1.4538,                 3.2688,                 1.3517,             8.6436e-05,             8.6436e-05,             8.6436e-05
                      6,                 1.3401,                  1.911,                 1.3127,                0.63066,                0.50838,                0.48146,                0.35166,                 1.3716,                 2.8082,                 1.2693,             0.00010456,             0.00010456,             0.00010456
                      7,                 1.1125,                 1.8626,                 1.3232,                0.34478,                0.49649,                0.41804,                0.32923,                 1.3435,                 2.3372,                 1.2374,             0.00012228,             0.00012228,             0.00012228
                      8,                 1.1113,                 1.8162,                 1.2247,                0.71454,                0.31207,                0.40352,                0.31329,                 1.3584,                 2.3102,                 1.2269,             0.00013961,             0.00013961,             0.00013961
                      9,                0.94235,                 1.6531,                 1.1967,                0.68288,                 0.4018,                0.50067,                0.39325,                 1.2708,                 1.8659,                 1.1839,             0.00015654,             0.00015654,             0.00015654
                     10,                 1.0373,                 1.6007,                 1.2635,                 0.6087,                0.64648,                  0.635,                 0.4925,                 1.2183,                 1.6833,                 1.1769,             0.00017307,             0.00017307,             0.00017307
                     11,                  1.253,                 1.6024,                 1.3123,                0.70091,                0.61819,                0.71999,                0.54538,                 1.1776,                 1.5904,                 1.1578,             0.00018921,             0.00018921,             0.00018921
                     12,                0.99205,                 1.6211,                 1.2235,                0.70091,                0.61819,                0.71999,                0.54538,                 1.1776,                 1.5904,                 1.1578,             0.00020495,             0.00020495,             0.00020495
                     13,                0.99169,                 1.5406,                 1.2259,                0.69458,                0.64808,                0.77322,                 0.5158,                 1.2534,                 1.8479,                 1.1732,              0.0002203,              0.0002203,              0.0002203
                     14,                 0.9727,                 1.6236,                 1.2017,                0.70686,                0.72152,                0.79157,                  0.568,                 1.1876,                 1.8182,                 1.1391,             0.00023525,             0.00023525,             0.00023525
                     15,                0.98967,                 1.3656,                 1.1845,                0.70686,                0.72152,                0.79157,                  0.568,                 1.1876,                 1.8182,                 1.1391,             0.00024981,             0.00024981,             0.00024981
                     16,                0.99661,                 1.3079,                 1.0991,                0.56073,                0.71346,                0.70412,                0.47973,                 1.2084,                 1.8304,                  1.128,             0.00026397,             0.00026397,             0.00026397
                     17,                 1.0814,                 1.3078,                 1.2528,                0.66373,                0.65377,                0.74343,                0.52956,                    1.2,                 1.5828,                 1.1362,             0.00027773,             0.00027773,             0.00027773
                     18,                 1.0064,                 1.5516,                 1.3745,                0.66373,                0.65377,                0.74343,                0.52956,                    1.2,                 1.5828,                 1.1362,              0.0002911,              0.0002911,              0.0002911
                     19,                 1.1125,                 1.2876,                 1.1651,                0.89619,                0.73138,                0.80694,                0.63488,                 1.1247,                 1.5597,                 1.1105,             0.00030407,             0.00030407,             0.00030407
                     20,                  1.078,                 1.3975,                 1.2044,                0.89619,                0.73138,                0.80694,                0.63488,                 1.1247,                 1.5597,                 1.1105,             0.00031664,             0.00031664,             0.00031664
                     21,                0.92001,                 1.3364,                 1.1786,                0.73057,                0.71577,                0.78236,                0.60519,                 1.1641,                 1.6827,                 1.1151,             0.00032882,             0.00032882,             0.00032882
                     22,                 1.1127,                 1.4125,                 1.1687,                0.73057,                0.71577,                0.78236,                0.60519,                 1.1641,                 1.6827,                 1.1151,              0.0003406,              0.0003406,              0.0003406
                     23,                0.94909,                 1.1983,                 1.1125,                0.69029,                0.86777,                0.81081,                0.61532,                 1.1696,                 1.2441,                 1.1362,             0.00035199,             0.00035199,             0.00035199
                     24,                  1.054,                 1.3532,                  1.205,                0.69029,                0.86777,                0.81081,                0.61532,                 1.1696,                 1.2441,                 1.1362,             0.00036298,             0.00036298,             0.00036298
                     25,                 1.0595,                 1.2548,                 1.1136,                0.72221,                0.67834,                 0.7499,                0.55479,                 1.1818,                 1.3442,                 1.1609,             0.00037358,             0.00037358,             0.00037358
                     26,                 1.0396,                  1.157,                 1.1606,                0.72221,                0.67834,                 0.7499,                0.55479,                 1.1818,                 1.3442,                 1.1609,             0.00038377,             0.00038377,             0.00038377
                     27,                 0.8263,                 1.0321,                 1.1685,                0.72221,                0.67834,                 0.7499,                0.55479,                 1.1818,                 1.3442,                 1.1609,             0.00039358,             0.00039358,             0.00039358
                     28,                0.85769,                 2.2567,                  1.326,                0.73073,                0.64907,                0.73554,                0.47128,                 1.2138,                 1.6227,                 1.1565,             0.00040299,             0.00040299,             0.00040299
                     29,                0.96238,                 1.1453,                 1.1394,                0.73073,                0.64907,                0.73554,                0.47128,                 1.2138,                 1.6227,                 1.1565,               0.000412,               0.000412,               0.000412
                     30,                0.99457,                 1.2981,                 1.2773,                0.69824,                0.60647,                0.77584,                0.49935,                 1.2705,                 2.1998,                 1.1628,             0.00042061,             0.00042061,             0.00042061
                     31,                 1.1479,                  1.555,                 1.4114,                0.69824,                0.60647,                0.77584,                0.49935,                 1.2705,                 2.1998,                 1.1628,             0.00042883,             0.00042883,             0.00042883
                     32,                 1.0685,                 1.3193,                 1.1784,                0.69824,                0.60647,                0.77584,                0.49935,                 1.2705,                 2.1998,                 1.1628,             0.00043665,             0.00043665,             0.00043665
                     33,                  1.064,                 1.1668,                 1.1049,                0.79177,                0.61922,                0.77315,                0.48888,                 1.2163,                 1.6098,                  1.182,             0.00044408,             0.00044408,             0.00044408
                     34,                0.95559,                 1.2027,                 1.1726,                0.79177,                0.61922,                0.77315,                0.48888,                 1.2163,                 1.6098,                  1.182,             0.00045111,             0.00045111,             0.00045111
                     35,                 1.2192,                 1.4074,                 1.2801,                0.79177,                0.61922,                0.77315,                0.48888,                 1.2163,                 1.6098,                  1.182,             0.00045775,             0.00045775,             0.00045775
                     36,                 1.5281,                 1.8276,                  1.665,                0.58149,                0.78324,                 0.7429,                  0.506,                   1.12,                 2.2253,                   1.11,             0.00046398,             0.00046398,             0.00046398
                     37,                 1.1058,                 1.1825,                 1.1474,                0.58149,                0.78324,                 0.7429,                  0.506,                   1.12,                 2.2253,                   1.11,             0.00046983,             0.00046983,             0.00046983
                     38,                 1.0142,                 1.3609,                 1.2317,                0.58149,                0.78324,                 0.7429,                  0.506,                   1.12,                 2.2253,                   1.11,             0.00047528,             0.00047528,             0.00047528
                     39,                 1.0752,                 1.1154,                 1.1582,                0.67059,                0.75287,                0.64248,                0.50034,                 1.1288,                 3.0286,                 1.1407,             0.00048033,             0.00048033,             0.00048033
                     40,                0.96508,                 1.4654,                 1.2404,                0.67059,                0.75287,                0.64248,                0.50034,                 1.1288,                 3.0286,                 1.1407,             0.00048498,             0.00048498,             0.00048498
                     41,                0.98885,                 1.4175,                 1.2087,                0.67059,                0.75287,                0.64248,                0.50034,                 1.1288,                 3.0286,                 1.1407,             0.00048924,             0.00048924,             0.00048924
                     42,                0.96463,                 1.2547,                 1.1473,                0.65386,                0.70513,                0.76099,                0.52667,                 1.1123,                 1.3979,                 1.1417,              0.0004931,              0.0004931,              0.0004931
                     43,                 1.2033,                 1.3718,                 1.2299,                0.65386,                0.70513,                0.76099,                0.52667,                 1.1123,                 1.3979,                 1.1417,             0.00049657,             0.00049657,             0.00049657
                     44,                  1.092,                  1.461,                 1.3225,                0.65386,                0.70513,                0.76099,                0.52667,                 1.1123,                 1.3979,                 1.1417,             0.00049964,             0.00049964,             0.00049964
                     45,                 1.0285,                 1.3437,                 1.2651,                0.65386,                0.70513,                0.76099,                0.52667,                 1.1123,                 1.3979,                 1.1417,             0.00050232,             0.00050232,             0.00050232
                     46,                 1.1887,                 1.3526,                 1.3102,                0.82168,                0.70467,                0.80739,                0.60168,                 1.0562,                 1.2821,                 1.0933,             0.00050459,             0.00050459,             0.00050459
                     47,                0.96794,                 1.2023,                 1.1929,                0.82168,                0.70467,                0.80739,                0.60168,                 1.0562,                 1.2821,                 1.0933,             0.00050648,             0.00050648,             0.00050648
                     48,                0.94697,                 1.2383,                 1.1823,                0.82168,                0.70467,                0.80739,                0.60168,                 1.0562,                 1.2821,                 1.0933,             0.00050797,             0.00050797,             0.00050797
                     49,                  0.984,                 1.1892,                 1.1696,                0.82168,                0.70467,                0.80739,                0.60168,                 1.0562,                 1.2821,                 1.0933,             0.00050906,             0.00050906,             0.00050906
                     50,                0.98208,                 1.1515,                 1.1484,                0.81972,                 0.5796,                0.74494,                 0.5155,                 1.0977,                 1.3963,                 1.1589,             0.00050975,             0.00050975,             0.00050975
                     51,                0.99956,                 1.0803,                  1.147,                0.81972,                 0.5796,                0.74494,                 0.5155,                 1.0977,                 1.3963,                 1.1589,               0.000505,               0.000505,               0.000505
                     52,                 1.1855,                  1.223,                 1.2103,                0.81972,                 0.5796,                0.74494,                 0.5155,                 1.0977,                 1.3963,                 1.1589,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.0045,                 1.1609,                 1.2855,                0.81972,                 0.5796,                0.74494,                 0.5155,                 1.0977,                 1.3963,                 1.1589,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.1991,                 1.3174,                 1.3384,                0.58973,                0.76149,                0.73508,                0.52688,                 1.0765,                 1.3436,                 1.1431,              0.0004753,              0.0004753,              0.0004753
                     55,                  1.218,                 1.4202,                 1.3649,                0.58973,                0.76149,                0.73508,                0.52688,                 1.0765,                 1.3436,                 1.1431,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.1173,                 1.2843,                 1.1638,                0.58973,                0.76149,                0.73508,                0.52688,                 1.0765,                 1.3436,                 1.1431,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.0636,                 1.0152,                 1.1065,                0.58973,                0.76149,                0.73508,                0.52688,                 1.0765,                 1.3436,                 1.1431,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.0903,                0.99771,                 1.1081,                0.71379,                0.82789,                0.77498,                0.57501,                0.95576,                 1.2729,                 1.0485,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.2169,                 1.4041,                 1.3163,                0.71379,                0.82789,                0.77498,                0.57501,                0.95576,                 1.2729,                 1.0485,              0.0004258,              0.0004258,              0.0004258
                     60,                0.90966,                 1.0146,                 1.1545,                0.71379,                0.82789,                0.77498,                0.57501,                0.95576,                 1.2729,                 1.0485,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.1514,                 1.2219,                  1.168,                0.71379,                0.82789,                0.77498,                0.57501,                0.95576,                 1.2729,                 1.0485,               0.000406,               0.000406,               0.000406
                     62,                   1.17,                 1.3986,                  1.274,                0.70554,                0.89905,                0.81513,                0.59455,                0.96811,                 1.1953,                 1.0361,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.1485,                 1.1708,                 1.1083,                0.70554,                0.89905,                0.81513,                0.59455,                0.96811,                 1.1953,                 1.0361,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.0438,                 1.3127,                 1.2518,                0.70554,                0.89905,                0.81513,                0.59455,                0.96811,                 1.1953,                 1.0361,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.0463,                 1.2814,                 1.2046,                0.70554,                0.89905,                0.81513,                0.59455,                0.96811,                 1.1953,                 1.0361,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.2047,                 1.4149,                 1.4707,                0.84873,                0.90885,                0.87614,                0.64694,                0.92785,                 1.0284,                 1.0246,              0.0003565,              0.0003565,              0.0003565
                     67,                0.97673,                  1.127,                   1.13,                0.84873,                0.90885,                0.87614,                0.64694,                0.92785,                 1.0284,                 1.0246,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.2923,                   1.65,                 1.4377,                0.84873,                0.90885,                0.87614,                0.64694,                0.92785,                 1.0284,                 1.0246,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.0722,                 1.0872,                 1.1444,                0.84873,                0.90885,                0.87614,                0.64694,                0.92785,                 1.0284,                 1.0246,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.1288,                 1.1639,                 1.1439,                0.74598,                0.91354,                0.87232,                0.66831,                 0.8767,                0.99966,                 0.9921,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.0263,                 1.0734,                 1.1582,                0.74598,                0.91354,                0.87232,                0.66831,                 0.8767,                0.99966,                 0.9921,               0.000307,               0.000307,               0.000307
                     72,                 1.0306,                 1.1108,                 1.2098,                0.74598,                0.91354,                0.87232,                0.66831,                 0.8767,                0.99966,                 0.9921,              0.0002971,              0.0002971,              0.0002971
                     73,                 0.9992,                 1.0092,                 1.1343,                0.74598,                0.91354,                0.87232,                0.66831,                 0.8767,                0.99966,                 0.9921,              0.0002872,              0.0002872,              0.0002872
                     74,                0.95309,                 1.0716,                 1.1566,                0.85254,                0.84857,                0.93967,                0.68911,                0.86046,                0.92725,                0.97471,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.1217,                  1.165,                 1.2842,                0.85254,                0.84857,                0.93967,                0.68911,                0.86046,                0.92725,                0.97471,              0.0002674,              0.0002674,              0.0002674
                     76,                0.99139,                 1.0589,                 1.1682,                0.85254,                0.84857,                0.93967,                0.68911,                0.86046,                0.92725,                0.97471,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.2751,                 1.4671,                 1.3006,                0.85254,                0.84857,                0.93967,                0.68911,                0.86046,                0.92725,                0.97471,              0.0002476,              0.0002476,              0.0002476
                     78,                0.99161,                0.93224,                 1.0722,                0.89798,                0.80592,                0.89717,                0.70712,                0.83621,                0.80956,                0.97763,              0.0002377,              0.0002377,              0.0002377
                     79,                0.93874,                 1.1751,                 1.1424,                0.89798,                0.80592,                0.89717,                0.70712,                0.83621,                0.80956,                0.97763,              0.0002278,              0.0002278,              0.0002278
                     80,                0.95462,                 0.9813,                 1.1648,                0.89798,                0.80592,                0.89717,                0.70712,                0.83621,                0.80956,                0.97763,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.3688,                 1.3205,                 1.3679,                0.89798,                0.80592,                0.89717,                0.70712,                0.83621,                0.80956,                0.97763,               0.000208,               0.000208,               0.000208
                     82,                 1.0629,                0.96277,                  1.159,                0.78103,                0.91791,                0.86537,                0.70452,                 0.8114,                0.84058,                 0.9764,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.2648,                 1.2919,                 1.2572,                0.78103,                0.91791,                0.86537,                0.70452,                 0.8114,                0.84058,                 0.9764,              0.0001882,              0.0001882,              0.0001882
                     84,                0.78549,                0.89242,                 1.0909,                0.78103,                0.91791,                0.86537,                0.70452,                 0.8114,                0.84058,                 0.9764,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.0743,                 1.1796,                 1.2316,                0.78103,                0.91791,                0.86537,                0.70452,                 0.8114,                0.84058,                 0.9764,              0.0001684,              0.0001684,              0.0001684
                     86,                0.90127,                 1.0228,                 1.1142,                0.80221,                0.95732,                0.87556,                0.69573,                0.79504,                0.83445,                0.97254,              0.0001585,              0.0001585,              0.0001585
                     87,                0.82568,                0.86421,                 1.1175,                0.80221,                0.95732,                0.87556,                0.69573,                0.79504,                0.83445,                0.97254,              0.0001486,              0.0001486,              0.0001486
                     88,                  0.936,                0.88259,                 1.1018,                0.80221,                0.95732,                0.87556,                0.69573,                0.79504,                0.83445,                0.97254,              0.0001387,              0.0001387,              0.0001387
                     89,                0.97285,                0.99478,                 1.1075,                0.80221,                0.95732,                0.87556,                0.69573,                0.79504,                0.83445,                0.97254,              0.0001288,              0.0001288,              0.0001288
                     90,                 0.9222,                 1.2236,                  1.148,                0.76833,                0.86595,                0.91231,                0.73046,                0.78409,                0.79672,                0.97035,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.1911,                 1.7532,                 1.3319,                0.76833,                0.86595,                0.91231,                0.73046,                0.78409,                0.79672,                0.97035,               0.000109,               0.000109,               0.000109
                     92,                0.92316,                 1.5146,                 1.2351,                0.76833,                0.86595,                0.91231,                0.73046,                0.78409,                0.79672,                0.97035,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.90414,                 1.3909,                 1.1124,                0.76833,                0.86595,                0.91231,                0.73046,                0.78409,                0.79672,                0.97035,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                  0.886,                 1.8403,                 1.2498,                0.78371,                0.74827,                0.85084,                0.71528,                0.77477,                0.76487,                0.96291,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.84431,                 1.4244,                 1.1807,                0.78371,                0.74827,                0.85084,                0.71528,                0.77477,                0.76487,                0.96291,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.89235,                 1.1538,                 1.1587,                0.78371,                0.74827,                0.85084,                0.71528,                0.77477,                0.76487,                0.96291,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.0279,                 1.4402,                  1.175,                0.78371,                0.74827,                0.85084,                0.71528,                0.77477,                0.76487,                0.96291,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.88879,                 1.2539,                 1.1331,                0.74193,                 0.7641,                0.83181,                0.70459,                0.75987,                0.74165,                0.95624,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.1251,                 1.2867,                 1.1859,                0.74193,                 0.7641,                0.83181,                0.70459,                0.75987,                0.74165,                0.95624,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.97354,                 1.3464,                 1.1615,                0.74193,                 0.7641,                0.83181,                0.70459,                0.75987,                0.74165,                0.95624,               1.99e-05,               1.99e-05,               1.99e-05
