                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8301,                 4.7623,                  3.655,                 1.7097,                0.00338,                   0.15,                0.02718,                0.01438,                0.00028,                0.01667,                0.00018,                0.00014,                 2.7207,                 5.2405,                 3.8939,                  2.324,                  1e-05,                  1e-05,                  1e-05
                      2,                 1.5823,                 4.8162,                 3.2381,                 1.6598,                0.02937,                0.41453,                0.10175,                0.04334,                0.02667,                0.17094,                0.05152,                0.01901,                 2.4098,                  4.245,                 3.3924,                 2.0104,             2.9703e-05,             2.9703e-05,             2.9703e-05
                      3,                 1.5405,                 4.1359,                 2.7174,                 1.5769,                0.50398,                0.18463,                 0.3474,                0.17087,                 0.5319,                0.18205,                0.27793,                0.13174,                 1.8354,                 3.5064,                  2.565,                 1.6114,              4.901e-05,              4.901e-05,              4.901e-05
                      4,                 1.5552,                 3.3438,                 2.3504,                 1.4724,                0.37114,                0.46313,                0.41171,                0.29357,                0.37652,                0.46759,                0.41659,                0.24837,                 1.6393,                 3.0382,                 2.3309,                 1.4569,             6.7921e-05,             6.7921e-05,             6.7921e-05
                      5,                 1.5409,                 2.8875,                 1.9014,                 1.3723,                0.49363,                0.49586,                0.47962,                0.35116,                0.49363,                0.49586,                0.46411,                0.29271,                 1.4132,                 2.8223,                 2.8529,                 1.3183,             8.6436e-05,             8.6436e-05,             8.6436e-05
                      6,                 1.3655,                 2.9798,                 1.7643,                 1.2916,                0.69653,                0.53217,                0.56254,                 0.3966,                0.69653,                0.53217,                0.53789,                  0.336,                   1.31,                 2.6929,                 2.3098,                 1.2465,             0.00010456,             0.00010456,             0.00010456
                      7,                  1.219,                 3.1505,                 1.8613,                 1.3693,                 0.4438,                0.52077,                0.49116,                0.34666,                0.44192,                0.49215,                0.46087,                0.31073,                  1.259,                 2.4758,                 2.2316,                 1.2139,             0.00012228,             0.00012228,             0.00012228
                      8,                 1.0803,                 2.2428,                 1.7691,                 1.2316,                0.65372,                0.41959,                0.48918,                0.35924,                0.43143,                0.43787,                0.47558,                 0.3152,                 1.1964,                 2.3775,                 2.0036,                 1.1713,             0.00013961,             0.00013961,             0.00013961
                      9,                0.90935,                 2.1705,                 1.5568,                 1.1764,                0.51289,                0.60171,                0.63165,                0.45073,                0.50235,                0.58504,                0.60405,                0.39998,                 1.1782,                 2.2746,                 1.9042,                 1.1494,             0.00015654,             0.00015654,             0.00015654
                     10,                 0.9613,                 2.4142,                 1.4212,                 1.2125,                0.66075,                0.60507,                0.68462,                0.47683,                0.64491,                 0.5896,                0.66103,                0.42973,                 1.2422,                  2.203,                 1.8384,                 1.1686,             0.00017307,             0.00017307,             0.00017307
